modelID	Tsp_p0_p1	l_sampleSize	rho	mig_const
m1pc_VeryRecent_noR_noM	50000	"[238,2]"	0	0
m2pc_VeryRecent_noR_noM	50000	"[236,4]"	0	0
m5pc_VeryRecent_noR_noM	50000	"[228,12]"	0	0
m10pc_VeryRecent_noR_noM	50000	"[216,24]"	0	0
m25pc_VeryRecent_noR_noM	50000	"[180,60]"	0	0
m50pc_VeryRecent_noR_noM	50000	"[120,120]"	0	0
m1pc_VeryRecent_lowR_noM	50000	"[238,2]"	1e-8	0
m2pc_VeryRecent_lowR_noM	50000	"[236,4]"	1e-8	0
m5pc_VeryRecent_lowR_noM	50000	"[228,12]"	1e-8	0
m10pc_VeryRecent_lowR_noM	50000	"[216,24]"	1e-8	0
m25pc_VeryRecent_lowR_noM	50000	"[180,60]"	1e-8	0
m50pc_VeryRecent_lowR_noM	50000	"[120,120]"	1e-8	0
m1pc_VeryRecent_highR_noM	50000	"[238,2]"	1e-6	0
m2pc_VeryRecent_highR_noM	50000	"[236,4]"	1e-6	0
m5pc_VeryRecent_highR_noM	50000	"[228,12]"	1e-6	0
m10pc_VeryRecent_highR_noM	50000	"[216,24]"	1e-6	0
m25pc_VeryRecent_highR_noM	50000	"[180,60]"	1e-6	0
m50pc_VeryRecent_highR_noM	50000	"[120,120]"	1e-6	0
