modelID	Tsp_p01_p23	Tsp_p0_p1	Tsp_p2_p3	l_sampleSize	rho	mig_const
m1pc_old_noR_noM	500000	250000	100000	"[200,1,1,38]"	0	0
m2pc_old_noR_noM	500000	250000	100000	"[200,2,2,36]"	0	0
m5pc_old_noR_noM	500000	250000	100000	"[200,8,4,28]"	0	0
m10pc_old_noR_noM	500000	250000	100000	"[200,18,6,16]"	0	0
m25pc_old_noR_noM	500000	250000	100000	"[140,40,20,40]"	0	0
m50pc_old_noR_noM	500000	250000	100000	"[100,80,40,20]"	0	0
m1pc_old_noR_lowM	500000	250000	100000	"[200,1,1,38]"	0	1e-8
m2pc_old_noR_lowM	500000	250000	100000	"[200,2,2,36]"	0	1e-8
m5pc_old_noR_lowM	500000	250000	100000	"[200,8,4,28]"	0	1e-8
m10pc_old_noR_lowM	500000	250000	100000	"[200,18,6,16]"	0	1e-8
m25pc_old_noR_lowM	500000	250000	100000	"[140,40,20,40]"	0	1e-8
m50pc_old_noR_lowM	500000	250000	100000	"[100,80,40,20]"	0	1e-8
m1pc_old_lowR_noM	500000	250000	100000	"[200,1,1,38]"	1e-8	0
m2pc_old_lowR_noM	500000	250000	100000	"[200,2,2,36]"	1e-8	0
m5pc_old_lowR_noM	500000	250000	100000	"[200,8,4,28]"	1e-8	0
m10pc_old_lowR_noM	500000	250000	100000	"[200,18,6,16]"	1e-8	0
m25pc_old_lowR_noM	500000	250000	100000	"[140,40,20,40]"	1e-8	0
m50pc_old_lowR_noM	500000	250000	100000	"[100,80,40,20]"	1e-8	0
m1pc_old_lowR_lowM	500000	250000	100000	"[200,1,1,38]"	1e-8	1e-8
m2pc_old_lowR_lowM	500000	250000	100000	"[200,2,2,36]"	1e-8	1e-8
m5pc_old_lowR_lowM	500000	250000	100000	"[200,8,4,28]"	1e-8	1e-8
m10pc_old_lowR_lowM	500000	250000	100000	"[200,18,6,16]"	1e-8	1e-8
m25pc_old_lowR_lowM	500000	250000	100000	"[140,40,20,40]"	1e-8	1e-8
m50pc_old_lowR_lowM	500000	250000	100000	"[100,80,40,20]"	1e-8	1e-8
m1pc_old_highR_lowM	500000	250000	100000	"[200,1,1,38]"	1e-6	1e-8
m2pc_old_highR_lowM	500000	250000	100000	"[200,2,2,36]"	1e-6	1e-8
m5pc_old_highR_lowM	500000	250000	100000	"[200,8,4,28]"	1e-6	1e-8
m10pc_old_highR_lowM	500000	250000	100000	"[200,18,6,16]"	1e-6	1e-8
m25pc_old_highR_lowM	500000	250000	100000	"[140,40,20,40]"	1e-6	1e-8
m50pc_old_highR_lowM	500000	250000	100000	"[100,80,40,20]"	1e-6	1e-8
m1pc_old_highR_highM	500000	250000	100000	"[200,1,1,38]"	1e-6	1e-6
m2pc_old_highR_highM	500000	250000	100000	"[200,2,2,36]"	1e-6	1e-6
m5pc_old_highR_highM	500000	250000	100000	"[200,8,4,28]"	1e-6	1e-6
m10pc_old_highR_highM	500000	250000	100000	"[200,18,6,16]"	1e-6	1e-6
m25pc_old_highR_highM	500000	250000	100000	"[140,40,20,40]"	1e-6	1e-6
m50pc_old_highR_highM	500000	250000	100000	"[100,80,40,20]"	1e-6	1e-6
