modelID	Tsp_p01_p23	Tsp_p0_p1	Tsp_p2_p3	sampleHaploSize	inv_freq	rho	mig_const
m1pc_young_noR_lowM	250000	100000	50000	240	0.01	0	1e-8
m2pc_young_noR_lowM	250000	100000	50000	240	0.02	0	1e-8
m5pc_young_noR_lowM	250000	100000	50000	240	0.05	0	1e-8
m10pc_young_noR_lowM	250000	100000	50000	240	0.1	0	1e-8
m25pc_young_noR_lowM	250000	100000	50000	240	0.25	0	1e-8
m50pc_young_noR_lowM	250000	100000	50000	240	0.5	0	1e-8
m1pc_young_lowR_lowM	250000	100000	50000	240	0.01	1e-8	1e-8
m2pc_young_lowR_lowM	250000	100000	50000	240	0.02	1e-8	1e-8
m5pc_young_lowR_lowM	250000	100000	50000	240	0.05	1e-8	1e-8
m10pc_young_lowR_lowM	250000	100000	50000	240	0.1	1e-8	1e-8
m25pc_young_lowR_lowM	250000	100000	50000	240	0.25	1e-8	1e-8
m50pc_young_lowR_lowM	250000	100000	50000	240	0.5	1e-8	1e-8
m1pc_young_highR_lowM	250000	100000	50000	240	0.01	1e-6	1e-8
m2pc_young_highR_lowM	250000	100000	50000	240	0.02	1e-6	1e-8
m5pc_young_highR_lowM	250000	100000	50000	240	0.05	1e-6	1e-8
m10pc_young_highR_lowM	250000	100000	50000	240	0.1	1e-6	1e-8
m25pc_young_highR_lowM	250000	100000	50000	240	0.25	1e-6	1e-8
m50pc_young_highR_lowM	250000	100000	50000	240	0.5	1e-6	1e-8
